PartcipantID:beORnot
instanceNumber;c;p;w;v;id;type;sol
1;50;112;29,12,11,42,20,1;30,17,27,48,34,19;66-0.44-0.64;1;0
2;65;116;28,5,20,45,38,23;33,49,17,32,15,33;28-0.41-0.65;1;0
3;90;100;48,34,43,32,20,44;26,24,34,47,17,11;98-0.41-0.63;1;0
4;69;77;16,41,46,29,4,30;3,29,1,35,8,43;235-0.42-0.65;2;1
5;61;93;1,38,8,39,14,37;21,18,35,3,35,38;38-0.45-0.62;2;1
6;62;77;17,14,39,25,2,42;1,41,26,36,13,10;109-0.45-0.61;2;1
7;59;110;8,18,36,15,20,41;25,33,49,17,43,5;104-0.43-0.64;3;0
8;76;107;33,18,35,39,22,22;48,5,45,14,33,21;25-0.45-0.65;3;0
9;66;109;27,18,19,20,38,33;1,31,34,37,22,49;149-0.43-0.63;3;0
10;61;122;33,28,24,27,13,11;49,44,2,21,35,40;80-0.45-0.64;4;1
11;64;78;38,18,22,44,10,18;14,34,24,16,22,13;195-0.43-0.64;4;1
12;74;99;25,44,17,39,30,23;27,19,46,11,37,13;88-0.42-0.65;4;1
13;71;82;18,42,30,43,33,1;16,13,34,2,5,22;4-0.43-0.9;5;0
14;92;148;26,46,23,36,39,44;19,34,26,13,31,44;44-0.43-0.89;5;0
15;55;148;46,1,32,5,35,5;8,33,16,43,30,39;2-0.45-0.88;5;0
16;56;153;2,29,44,1,28,27;24,16,49,27,32,22;59-0.43-0.9;5;0
17;52;161;6,21,3,25,45,17;7,35,46,38,23,32;167-0.45-0.89;5;0
18;34;113;7,15,18,11,2,30;35,8,19,19,2,45;190-0.41-0.89;5;0
19;60;33;29,1,38,43,6,23;8,6,3,45,7,16;0-0.43-0.39;6;1
20;40;61;6,25,18,18,20,11;30,28,27,38,12,19;178-0.41-0.4;6;1
21;47;72;42,7,6,45,9,5;34,26,21,33,41,42;71-0.42-0.37;6;1
22;61;56;5,32,49,35,9,19;17,45,11,29,34,22;209-0.41-0.36;6;1
23;68;74;42,49,13,22,38,4;26,49,47,43,22,4;111-0.41-0.39;6;1
24;50;49;2,2,42,31,30,6;2,23,40,40,10,12;1-0.45-0.39;6;1
